Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/cache_line_size/16	2.205129	0.024567	0.000078	0.509711
spechmmer/cache_line_size/16	1.323281	0.007272	0.000182	0.046038
specmcf/cache_line_size/16	1.707885	0.009769	0.010429	0.385229
specsjeng/cache_line_size/16	11.919209	0.565183	0.018429	0.110300
speclibm/cache_line_size/16	8.872846	0.246914	0.000060	0.999996
specbzip/cache_line_size/32	1.942362	0.017364	0.000071	0.415013
spechmmer/cache_line_size/32	1.306230	0.003629	0.000163	0.072033
specmcf/cache_line_size/32	1.440472	0.005022	0.012927	0.251708
specsjeng/cache_line_size/32	6.417796	0.392764	0.015906	0.104844
speclibm/cache_line_size/32	5.164871	0.123459	0.000072	0.999991
specbzip/cache_line_size/64	1.747783	0.014272	0.000061	0.272277
spechmmer/cache_line_size/64	1.284963	0.001865	0.000181	0.073000
specmcf/cache_line_size/64	1.363381	0.003376	0.014607	0.158090
specsjeng/cache_line_size/64	3.690893	0.244528	0.016750	0.065054
speclibm/cache_line_size/64	3.249665	0.061731	0.000088	0.999979
specbzip/cache_line_size/128	1.669584	0.013672	0.000052	0.166608
spechmmer/cache_line_size/128	1.282548	0.000975	0.003432	0.034978
specmcf/cache_line_size/128	1.352544	0.002243	0.018821	0.074878
specsjeng/cache_line_size/128	3.742715	0.243736	0.016659	0.040342
speclibm/cache_line_size/128	2.418008	0.030867	0.000096	0.999922
specbzip/cache_line_size/256	1.652862	0.014401	0.000044	0.104555
spechmmer/cache_line_size/256	1.292462	0.000544	0.008109	0.013429
specmcf/cache_line_size/256	1.489060	0.001857	0.045446	0.018450
specsjeng/cache_line_size/256	6.326712	0.126210	0.016106	0.747998
speclibm/cache_line_size/256	1.857574	0.015434	0.000114	0.999761
specbzip/cache_line_size/512	1.667016	0.015741	0.000042	0.072047
spechmmer/cache_line_size/512	1.287083	0.000417	0.007373	0.008933
specmcf/cache_line_size/512	1.631418	0.001892	0.061815	0.007274
specsjeng/cache_line_size/512	4.907774	0.067115	0.015556	0.596507
speclibm/cache_line_size/512	1.626793	0.007718	0.000113	0.999403
