Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l1d_assoc/1	1.771794	0.016291	0.000061	0.237623
spechmmer/l1d_assoc/1	1.313702	0.003576	0.000181	0.039380
specmcf/l1d_assoc/1	    1.395648	0.011645	0.014594	0.110865
specsjeng/l1d_assoc/1	3.698814	0.245949	0.016752	0.061262
speclibm/l1d_assoc/1	3.249787	0.062322	0.000088	0.986497
specbzip/l1d_assoc/2	1.747783	0.014272	0.000061	0.272277
spechmmer/l1d_assoc/2	1.284963	0.001865	0.000181	0.073000
specmcf/l1d_assoc/2	    1.363381	0.003376	0.014607	0.158090
specsjeng/l1d_assoc/2	3.690893	0.244528	0.016750	0.065054
speclibm/l1d_assoc/2	3.249665	0.061731	0.000088	0.999979
specbzip/l1d_assoc/4	1.738533	0.013426	0.000061	0.290789
spechmmer/l1d_assoc/4	1.284196	0.001764	0.000177	0.077372
specmcf/l1d_assoc/4	    1.362738	0.003270	0.014607	0.159115
specsjeng/l1d_assoc/4	3.687331	0.243830	0.016738	0.067121
speclibm/l1d_assoc/4	3.249665	0.061731	0.000088	0.999981
specbzip/l1d_assoc/8	1.731632	0.012850	0.000061	0.304971
spechmmer/l1d_assoc/8	1.284159	0.001783	0.000177	0.076543
specmcf/l1d_assoc/8	    1.362940	0.003279	0.014607	0.159026
specsjeng/l1d_assoc/8	3.686568	0.243601	0.016737	0.067668
speclibm/l1d_assoc/8	3.249665	0.061731	0.000088	0.999981
specbzip/l1d_assoc/16	1.727921	0.012527	0.000061	0.313540
spechmmer/l1d_assoc/16	1.284222	0.001856	0.000179	0.073434
specmcf/l1d_assoc/16	1.362839	0.003262	0.014607	0.159198
specsjeng/l1d_assoc/16	3.686436	0.243561	0.016737	0.067763
speclibm/l1d_assoc/16	3.249665	0.061731	0.000088	0.999981
specbzip/l1d_assoc/32	1.722288	0.012096	0.000061	0.325789
spechmmer/l1d_assoc/32	1.284267	0.001883	0.000179	0.072337
specmcf/l1d_assoc/32	1.363022	0.003277	0.014607	0.159049
specsjeng/l1d_assoc/32	3.686427	0.243546	0.016737	0.067799
speclibm/l1d_assoc/32	3.249665	0.061731	0.000088	0.999981
specbzip/l1d_assoc/64	1.719330	0.011876	0.000061	0.332422
spechmmer/l1d_assoc/64	1.284298	0.001891	0.000179	0.072052
specmcf/l1d_assoc/64	1.363069	0.003291	0.014607	0.158896
specsjeng/l1d_assoc/64	3.686361	0.243546	0.016737	0.067801
speclibm/l1d_assoc/64	3.249665	0.061731	0.000088	0.999981
specbzip/l1d_assoc/128	1.717773	0.011785	0.000061	0.335232
spechmmer/l1d_assoc/128	1.284309	0.001900	0.000179	0.071690
specmcf/l1d_assoc/128	1.363225	0.003299	0.014607	0.158814
specsjeng/l1d_assoc/128	3.686369	0.243545	0.016737	0.067802
speclibm/l1d_assoc/128	3.249665	0.061731	0.000088	0.999981
