Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l1d_size/2kB	2.022814	0.038230	0.000061	0.097509
spechmmer/l1d_size/2kB	1.625181	0.029426	0.000187	0.004650
specmcf/l1d_size/2kB	1.798604	0.090795	0.014421	0.028708
specsjeng/l1d_size/2kB	4.128826	0.311444	0.017607	0.016230
speclibm/l1d_size/2kB	3.249708	0.061739	0.000088	0.999751
specbzip/l1d_size/4kB	1.919975	0.030359	0.000061	0.123626
spechmmer/l1d_size/4kB	1.351692	0.007839	0.000186	0.017467
specmcf/l1d_size/4kB	1.654553	0.061658	0.014464	0.040527
specsjeng/l1d_size/4kB	3.888420	0.278819	0.017305	0.025745
speclibm/l1d_size/4kB	3.249665	0.061735	0.000088	0.999854
specbzip/l1d_size/8kB	1.862515	0.025180	0.000061	0.149944
spechmmer/l1d_size/8kB	1.309425	0.004315	0.000185	0.031688
specmcf/l1d_size/8kB	1.391231	0.008954	0.014597	0.122655
specsjeng/l1d_size/8kB	3.761820	0.258066	0.017079	0.040600
speclibm/l1d_size/8kB	3.249665	0.061733	0.000088	0.999925
specbzip/l1d_size/16kB	1.824004	0.021451	0.000061	0.176950
spechmmer/l1d_size/16kB	1.291699	0.002780	0.000184	0.048750
specmcf/l1d_size/16kB	1.373789	0.005528	0.014601	0.141880
specsjeng/l1d_size/16kB	3.712843	0.249402	0.016836	0.053993
speclibm/l1d_size/16kB	3.249665	0.061732	0.000088	0.999963
specbzip/l1d_size/32kB	1.785599	0.017760	0.000061	0.215445
spechmmer/l1d_size/32kB	1.287004	0.002324	0.000184	0.058484
specmcf/l1d_size/32kB	1.365047	0.003760	0.014606	0.154394
specsjeng/l1d_size/32kB	3.699392	0.246573	0.016780	0.060097
speclibm/l1d_size/32kB	3.249665	0.061731	0.000088	0.999972
specbzip/l1d_size/64kB	1.747783	0.014272	0.000061	0.272277
spechmmer/l1d_size/64kB	1.284963	0.001865	0.000181	0.073000
specmcf/l1d_size/64kB	1.363381	0.003376	0.014607	0.158090
specsjeng/l1d_size/64kB	3.690893	0.244528	0.016750	0.065054
speclibm/l1d_size/64kB	3.249665	0.061731	0.000088	0.999979
specbzip/l1d_size/128kB	1.717563	0.011443	0.000061	0.346275
spechmmer/l1d_size/128kB	1.281866	0.000865	0.000173	0.157826
specmcf/l1d_size/128kB	1.362161	0.003205	0.014607	0.159846
specsjeng/l1d_size/128kB	3.686949	0.243599	0.016736	0.067619
speclibm/l1d_size/128kB	3.249665	0.061731	0.000088	0.999981
