Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l1i_assoc/1	1.747834	0.014271	0.000093	0.272135
spechmmer/l1i_assoc/1	1.285548	0.001865	0.000382	0.070028
specmcf/l1i_assoc/1	2.180029	0.003376	0.129838	0.021911
specsjeng/l1i_assoc/1	3.759580	0.244528	0.026906	0.042459
speclibm/l1i_assoc/1	3.249686	0.061731	0.000101	0.999904
specbzip/l1i_assoc/2	1.747783	0.014272	0.000061	0.272277
spechmmer/l1i_assoc/2	1.284963	0.001865	0.000181	0.073000
specmcf/l1i_assoc/2	1.363381	0.003376	0.014607	0.158090
specsjeng/l1i_assoc/2	3.690893	0.244528	0.016750	0.065054
speclibm/l1i_assoc/2	3.249665	0.061731	0.000088	0.999979
specbzip/l1i_assoc/4	1.747743	0.014271	0.000058	0.272294
spechmmer/l1i_assoc/4	1.284662	0.001865	0.000101	0.074244
specmcf/l1i_assoc/4	1.249896	0.003376	0.000023	0.831849
specsjeng/l1i_assoc/4	3.678462	0.244557	0.015213	0.070785
speclibm/l1i_assoc/4	3.249665	0.061731	0.000087	0.999986
specbzip/l1i_assoc/8	1.747897	0.014271	0.000057	0.272288
spechmmer/l1i_assoc/8	1.284636	0.001865	0.000098	0.074313
specmcf/l1i_assoc/8	1.249896	0.003376	0.000022	0.832042
specsjeng/l1i_assoc/8	3.667464	0.244545	0.013257	0.079703
speclibm/l1i_assoc/8	3.249628	0.061731	0.000086	0.999992
specbzip/l1i_assoc/16	1.747741	0.014271	0.000057	0.272302
spechmmer/l1i_assoc/16	1.284656	0.001865	0.000097	0.074313
specmcf/l1i_assoc/16	1.249896	0.003375	0.000022	0.832035
specsjeng/l1i_assoc/16	3.663552	0.244545	0.012640	0.083011
speclibm/l1i_assoc/16	3.249628	0.061731	0.000086	0.999991
specbzip/l1i_assoc/32	1.747741	0.014271	0.000057	0.272301
spechmmer/l1i_assoc/32	1.284636	0.001865	0.000097	0.074318
specmcf/l1i_assoc/32	1.249896	0.003375	0.000022	0.832054
specsjeng/l1i_assoc/32	3.664908	0.244543	0.012658	0.082861
speclibm/l1i_assoc/32	3.249628	0.061731	0.000085	0.999994
specbzip/l1i_assoc/64	1.747758	0.014271	0.000057	0.272296
spechmmer/l1i_assoc/64	1.284636	0.001865	0.000098	0.074316
specmcf/l1i_assoc/64	1.249896	0.003375	0.000022	0.832053
specsjeng/l1i_assoc/64	3.666668	0.244544	0.012771	0.082201
speclibm/l1i_assoc/64	3.249628	0.061731	0.000085	0.999996
specbzip/l1i_assoc/128	1.747854	0.014271	0.000057	0.272289
spechmmer/l1i_assoc/128	1.284636	0.001865	0.000098	0.074318
specmcf/l1i_assoc/128	1.249896	0.003375	0.000022	0.832043
specsjeng/l1i_assoc/128	3.667436	0.244545	0.012834	0.081851
speclibm/l1i_assoc/128	3.249628	0.061731	0.000085	0.999996
