Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l1i_size/2kB	1.819360	0.014269	0.029071	0.175645
spechmmer/l1i_size/2kB	1.420489	0.001863	0.057728	0.005669
specmcf/l1i_size/2kB	4.078132	0.003375	0.438665	0.006975
specsjeng/l1i_size/2kB	4.321855	0.244619	0.104641	0.011905
speclibm/l1i_size/2kB	3.249783	0.061731	0.000188	0.999400
specbzip/l1i_size/4kB	1.760299	0.014271	0.005542	0.246488
spechmmer/l1i_size/4kB	1.291052	0.001865	0.002130	0.051675
specmcf/l1i_size/4kB	3.660527	0.003374	0.373931	0.008104
specsjeng/l1i_size/4kB	4.131210	0.244530	0.079172	0.015506
speclibm/l1i_size/4kB	3.249708	0.061731	0.000153	0.999599
specbzip/l1i_size/8kB	1.750195	0.014271	0.000923	0.267986
spechmmer/l1i_size/8kB	1.288640	0.001865	0.001452	0.057567
specmcf/l1i_size/8kB	2.897585	0.003377	0.250201	0.011838
specsjeng/l1i_size/8kB	3.950314	0.244533	0.054956	0.021887
speclibm/l1i_size/8kB	3.249708	0.061731	0.000120	0.999793
specbzip/l1i_size/16kB	1.747852	0.014271	0.000068	0.272288
spechmmer/l1i_size/16kB	1.285798	0.001865	0.000525	0.068053
specmcf/l1i_size/16kB	1.634725	0.003375	0.064282	0.042669
specsjeng/l1i_size/16kB	3.829729	0.244551	0.037126	0.031599
speclibm/l1i_size/16kB	3.249686	0.061731	0.000099	0.999914
specbzip/l1i_size/32kB	1.747783	0.014272	0.000061	0.272277
spechmmer/l1i_size/32kB	1.284963	0.001865	0.000181	0.073000
specmcf/l1i_size/32kB	1.363381	0.003376	0.014607	0.158090
specsjeng/l1i_size/32kB	3.690893	0.244528	0.016750	0.065054
speclibm/l1i_size/32kB	3.249665	0.061731	0.000088	0.999979
specbzip/l1i_size/64kB	1.747741	0.014271	0.000058	0.272240
spechmmer/l1i_size/64kB	1.284636	0.001865	0.000096	0.074342
specmcf/l1i_size/64kB	1.363380	0.003376	0.014596	0.158178
specsjeng/l1i_size/64kB	3.610380	0.244521	0.004733	0.179476
speclibm/l1i_size/64kB	3.249628	0.061731	0.000086	0.999988
specbzip/l1i_size/128kB	1.747820	0.014271	0.000057	0.272217
spechmmer/l1i_size/128kB1.284636	0.001865	0.000089	0.074456
specmcf/l1i_size/128kB	1.249896	0.003376	0.000022	0.832057
specsjeng/l1i_size/128kB3.583600	0.244510	0.000645	0.454444
speclibm/l1i_size/128kB	3.249628	0.061731	0.000085	0.999996
