Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l2_assoc/1	    1.775623	0.014276	0.000061	0.305265
spechmmer/l2_assoc/1	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/1	    1.365719	0.003376	0.014607	0.161298
specsjeng/l2_assoc/1	3.692434	0.244530	0.016751	0.066818
speclibm/l2_assoc/1	    3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/2	    1.755510	0.014272	0.000061	0.281616
spechmmer/l2_assoc/2	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/2	    1.363415	0.003375	0.014607	0.158247
specsjeng/l2_assoc/2	3.691352	0.244529	0.016751	0.065558
speclibm/l2_assoc/2	    3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/4	    1.748091	0.014272	0.000061	0.273491
spechmmer/l2_assoc/4	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/4	    1.363381	0.003376	0.014607	0.158088
specsjeng/l2_assoc/4	3.690778	0.244528	0.016750	0.065070
speclibm/l2_assoc/4	    3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/8	    1.747783	0.014272	0.000061	0.272277
spechmmer/l2_assoc/8	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/8	    1.363381	0.003376	0.014607	0.158090
specsjeng/l2_assoc/8	3.690893	0.244528	0.016750	0.065054
speclibm/l2_assoc/8	    3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/16	1.747364	0.014271	0.000061	0.271701
spechmmer/l2_assoc/16	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/16	    1.363169	0.003376	0.014607	0.158030
specsjeng/l2_assoc/16	3.690885	0.244528	0.016750	0.065055
speclibm/l2_assoc/16	3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/32	1.747415	0.014270	0.000061	0.271409
spechmmer/l2_assoc/32	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/32	    1.362966	0.003376	0.014607	0.158038
specsjeng/l2_assoc/32	3.689484	0.244528	0.016750	0.065055
speclibm/l2_assoc/32	3.249667	0.061731	0.000088	0.999979
specbzip/l2_assoc/64	1.747852	0.014269	0.000061	0.271721
spechmmer/l2_assoc/64	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/64	    1.362432	0.003375	0.014607	0.158029
specsjeng/l2_assoc/64	3.688949	0.244528	0.016750	0.065055
speclibm/l2_assoc/64	3.249665	0.061731	0.000088	0.999979
specbzip/l2_assoc/128	1.747696	0.014270	0.000061	0.271869
spechmmer/l2_assoc/128	1.284963	0.001865	0.000181	0.073000
specmcf/l2_assoc/128	1.362108	0.003375	0.014607	0.158049
specsjeng/l2_assoc/128	3.688713	0.244528	0.016750	0.065054
speclibm/l2_assoc/128	3.249667	0.061731	0.000088	0.999979
