Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip/l2_size/32kB	2.302183	0.014242	0.000061	0.854436
spechmmer/l2_size/32kB	1.358482	0.002514	0.000181	0.817398
specmcf/l2_size/32kB	1.384959	0.003374	0.014608	0.184390
specsjeng/l2_size/32kB	3.870465	0.244553	0.016749	0.257375
speclibm/l2_size/32kB	3.222650	0.061731	0.000088	0.999979
specbzip/l2_size/64kB	2.236785	0.014249	0.000061	0.786380
spechmmer/l2_size/64kB	1.339581	0.002313	0.000181	0.622496
specmcf/l2_size/64kB	1.384352	0.003374	0.014608	0.183002
specsjeng/l2_size/64kB	3.748503	0.244548	0.016757	0.126027
speclibm/l2_size/64kB	3.252973	0.061731	0.000088	0.999979
specbzip/l2_size/128kB	2.152640	0.014258	0.000061	0.701240
spechmmer/l2_size/128kB	1.303462	0.002007	0.000181	0.260988
specmcf/l2_size/128kB	1.381896	0.003377	0.014608	0.178296
specsjeng/l2_size/128kB	3.706021	0.244538	0.016759	0.080745
speclibm/l2_size/128kB	3.253288	0.061731	0.000088	0.999979
specbzip/l2_size/256kB	2.015374	0.014274	0.000061	0.561169
spechmmer/l2_size/256kB	1.285506	0.001870	0.000181	0.079372
specmcf/l2_size/256kB	1.375519	0.003378	0.014608	0.171408
specsjeng/l2_size/256kB	3.694426	0.244531	0.016755	0.069177
speclibm/l2_size/256kB	3.252796	0.061731	0.000088	0.999979
specbzip/l2_size/512kB	1.881470	0.014282	0.000061	0.419712
spechmmer/l2_size/512kB	1.284963	0.001865	0.000181	0.073000
specmcf/l2_size/512kB	1.373081	0.003378	0.014608	0.168711
specsjeng/l2_size/512kB	3.690907	0.244528	0.016752	0.065590
speclibm/l2_size/512kB	3.252315	0.061731	0.000088	0.999979
specbzip/l2_size/1MB	1.802197	0.014281	0.000061	0.330278
spechmmer/l2_size/1MB	1.284963	0.001865	0.000181	0.073000
specmcf/l2_size/1MB	    1.368920	0.003377	0.014607	0.162821
specsjeng/l2_size/1MB	3.690840	0.244528	0.016750	0.065074
speclibm/l2_size/1MB	3.251421	0.061731	0.000088	0.999979
specbzip/l2_size/2MB	1.747783	0.014272	0.000061	0.272277
spechmmer/l2_size/2MB	1.284963	0.001865	0.000181	0.073000
specmcf/l2_size/2MB	    1.363381	0.003376	0.014607	0.158090
specsjeng/l2_size/2MB	3.690893	0.244528	0.016750	0.065054
speclibm/l2_size/2MB	3.249665	0.061731	0.000088	0.999979
specbzip/l2_size/4MB	1.711569	0.014261	0.000061	0.233930
spechmmer/l2_size/4MB	1.284963	0.001865	0.000181	0.073000
specmcf/l2_size/4MB	    1.355892	0.003375	0.014606	0.150542
specsjeng/l2_size/4MB	3.690458	0.244528	0.016750	0.064712
speclibm/l2_size/4MB	3.246084	0.061731	0.000088	0.999979
